beat,sec,notes,duration,phoneme,midi_num,relative_midi_num
0,,C4,1,き,,
1,,C4,1,ら,,
2,,G4,1,き,,
3,,G4,1,ら,,
4,,A4,1,ひ,,
5,,A4,1,か,,
6,,G4,2,る,,
8,,F4,1,お,,
9,,F4,1,そ,,
10,,E4,1,ら,,
11,,E4,1,の,,
12,,D4,1,ほ,,
13,,D4,1,し,,
14,,C4,2,よ,,
16,,G4,1,ま,,
17,,G4,1,ば,,
18,,F4,1,た,,
19,,F4,1,き,,
20,,E4,1,し,,
21,,E4,1,て,,
22,,D4,2,わ,,
24,,G4,1,み,,
25,,G4,1,ん,,
26,,F4,1,な,,
27,,F4,1,を,,
28,,E4,1,み,,
29,,E4,1,て,,
30,,D4,2,る,,
32,,C4,1,き,,
33,,C4,1,ら,,
34,,G4,1,き,,
35,,G4,1,ら,,
36,,A4,1,ひ,,
37,,A4,1,か,,
38,,G4,2,る,,
40,,F4,1,お,,
41,,F4,1,そ,,
42,,E4,1,ら,,
43,,E4,1,の,,
44,,D4,1,ほ,,
45,,D4,1,し,,
46,,C4,2,よ,,
